Serial Number,Topic Name,Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty Level
7995,Profit and Loss,Find the selling price of a product with a cost price of 83 and a 16% profit.,104.09,93.99,99.14,96.28,Option D: 96.28,Easy
7996,Ratio and Proportion,"If A:B = 2:4 and A is 13, determine the value of B.",26.0,31.97,28.17,24.28,Option A: 26.0,Medium
7997,Time and Work,"If A can complete a work in 2 days and B can complete it in 5 days, how many days will they take to complete the work together?",-0.9,3.36,7.07,1.43,Option D: 1.43,Medium
7998,Pipes and Cisterns,"If a tank is filled by a pipe in 1 hours and emptied by another in 3 hours, how long will it take to fill the tank of 54 liters when both pipes are open?",-29.86,-25.89,-27.0,-21.12,Option C: -27.0,Medium
7999,Ratio and Proportion,Calculate the value of B if A:B = 2:2 and A = 36.,41.33,37.97,33.71,36.0,Option D: 36.0,Easy
8000,"Time, Speed, Distance",Find the travel time for 161 km at 28 km/hr.,5.75,3.67,7.18,9.82,Option A: 5.75,Hard
8001,Time and Work,Calculate the time for A and B to complete a work together if A takes 10 days and B takes 7 days individually.,8.54,1.6,5.8,4.12,Option D: 4.12,Medium
8002,Percentage,Determine the value of 15% of 102.,16.32,25.26,15.3,12.68,Option C: 15.3,Easy
8003,Numbers,Find the result when you add 13 and 17.,25,36,31,30,Option D: 30,Medium
8004,Ratio and Proportion,Calculate the value of B if A:B = 2:1 and A = 41.,21.82,25.87,20.5,17.86,Option C: 20.5,Easy
8005,Pipes and Cisterns,"If a tank is filled by a pipe in 3 hours and emptied by another in 1 hours, how long will it take to fill the tank of 40 liters when both pipes are open?",22.38,20.0,17.15,24.95,Option B: 20.0,Easy
8006,Percentage,Determine the value of 16% of 76.,10.9,13.37,12.16,19.19,Option C: 12.16,Easy
8007,Time and Work,Calculate the time for A and B to complete a work together if A takes 7 days and B takes 10 days individually.,1.69,4.12,9.06,5.33,Option B: 4.12,Hard
8008,Numbers,Calculate the total of 28 plus 37.,65,71,64,67,Option A: 65,Medium
8009,"Time, Speed, Distance",Find the travel time for 104 km at 25 km/hr.,6.54,2.67,4.16,8.9,Option C: 4.16,Easy
8010,Numbers,Add 43 and 45. What do you get?,87,89,98,88,Option D: 88,Medium
8011,Percentage,What is 5% of 175?,12.79,8.75,18.52,7.44,Option B: 8.75,Medium
8012,Ratio and Proportion,Find B given that the ratio of A to B is 1:3 and A equals 35.,105.0,106.8,109.51,103.15,Option A: 105.0,Medium
8013,Percentage,What is 36% of 195?,79.67,72.42,66.84,70.2,Option D: 70.2,Medium
8014,Percentage,Find 8% of 131.,6.65,19.95,10.48,12.79,Option C: 10.48,Easy
8015,Profit and Loss,Find the selling price of a product with a cost price of 85 and a 15% profit.,105.63,102.42,97.75,96.09,Option C: 97.75,Hard
8016,Numbers,Find the result when you add 48 and 16.,69,64,70,59,Option B: 64,Easy
8017,Percentage,Determine the value of 2% of 86.,-2.2,8.94,4.98,1.72,Option D: 1.72,Hard
8018,Time and Work,"Given A can do a work in 2 days and B in 3 days, find the total time they will take working together.",1.2,-0.6,3.38,5.42,Option A: 1.2,Hard
8019,Profit and Loss,"If the cost price is 98 and the profit percentage is 5%, calculate the selling price.",100.03,102.9,111.79,107.13,Option B: 102.9,Hard
8020,Percentage,What is 45% of 96?,50.08,43.2,40.22,45.95,Option B: 43.2,Easy
8021,Average,"Find the arithmetic mean of 97, 18, and 57.",57.33,63.42,61.12,54.23,Option A: 57.33,Medium
8022,Average,"98, 55, and 50 have an average of:",77.14,67.67,63.56,69.62,Option B: 67.67,Easy
8023,Algebra,"Given a = 5, b = 9, and x = 7, compute ax + b.",44,53,49,43,Option A: 44,Easy
8024,Time and Work,"A takes 3 days to finish a work and B takes 6 days. Working together, how many days will they take?",4.85,7.21,0.38,2.0,Option D: 2.0,Hard
8025,Pipes and Cisterns,Determine the filling time for a tank of 57 liters given a fill rate of 4 hours and an empty rate of 4 hours.,0,-1.99,1.42,5.54,Option A: 0,Medium
8026,Numbers,Find the result when you add 24 and 22.,46,52,45,47,Option A: 46,Easy
8027,Profit and Loss,What would be the selling price if the cost price is 57 and profit is 12%?,68.72,59.77,63.84,72.16,Option C: 63.84,Easy
8028,Time and Work,How many days will it take for A and B to finish a work together if A takes 10 days and B takes 4 days?,8.37,2.86,-0.1,4.04,Option B: 2.86,Hard
8029,Percentage,What is 19% of 182?,43.98,34.58,37.98,33.19,Option B: 34.58,Easy
8030,Algebra,"Calculate the value of ax + b for a = 8, b = 4, and x = 10.",88,93,81,84,Option D: 84,Medium
8031,Time and Work,"If A can complete a work in 10 days and B can complete it in 10 days, how many days will they take to complete the work together?",6.12,9.81,3.54,5.0,Option D: 5.0,Hard
8032,Profit and Loss,A product costs 81 and is sold at a profit of 15%. What is the selling price?,100.4,93.15,88.3,98.0,Option B: 93.15,Easy
8033,Average,"Calculate the average value of 94, 56, and 80.",76.67,83.87,74.96,80.3,Option A: 76.67,Medium
8034,Average,"33, 29, and 46 have an average of:",38.69,36.0,32.02,44.42,Option B: 36.0,Easy
8035,Average,"The average of 53, 24, and 71 is:",49.33,57.31,45.12,50.96,Option A: 49.33,Medium
8036,Profit and Loss,"Given a cost price of 79 and a profit percentage of 17%, determine the selling price.",92.43,93.73,98.78,88.55,Option A: 92.43,Hard
8037,Time and Work,"If A can complete a work in 4 days and B can complete it in 3 days, how many days will they take to complete the work together?",4.18,1.71,7.01,-0.35,Option B: 1.71,Medium
8038,Profit and Loss,What would be the selling price if the cost price is 96 and profit is 19%?,114.24,120.59,109.47,118.39,Option A: 114.24,Easy
8039,Numbers,35 added to 33 equals what?,75,68,65,72,Option B: 68,Medium
8040,Numbers,Find the result when you add 2 and 42.,39,47,44,51,Option C: 44,Hard
8041,Time and Work,"Given A can do a work in 5 days and B in 9 days, find the total time they will take working together.",8.75,4.59,3.21,1.14,Option C: 3.21,Hard
8042,Ratio and Proportion,A is 10 and the ratio of A to B is 5:1. What is B?,2.0,7.63,-0.76,3.81,Option A: 2.0,Hard
8043,Profit and Loss,A product costs 65 and is sold at a profit of 17%. What is the selling price?,76.05,71.62,83.06,80.68,Option A: 76.05,Easy
8044,Profit and Loss,What would be the selling price if the cost price is 51 and profit is 16%?,67.68,63.56,55.96,59.16,Option D: 59.16,Hard
8045,Ratio and Proportion,"If A:B = 5:5 and A is 15, determine the value of B.",15.0,13.18,20.04,17.65,Option A: 15.0,Hard
8046,Percentage,32% of 184 is what?,57.56,68.54,58.88,59.99,Option C: 58.88,Easy
8047,Numbers,Find the result when you add 30 and 21.,51,58,52,46,Option A: 51,Easy
8048,Profit and Loss,"Given a cost price of 75 and a profit percentage of 9%, determine the selling price.",90.3,81.75,80.15,86.21,Option B: 81.75,Hard
8049,Profit and Loss,What would be the selling price if the cost price is 81 and profit is 8%?,90.59,87.48,93.69,85.42,Option B: 87.48,Medium
8050,Pipes and Cisterns,"If a tank is filled by a pipe in 10 hours and emptied by another in 4 hours, how long will it take to fill the tank of 34 liters when both pipes are open?",5.67,10.19,7.13,3.72,Option A: 5.67,Hard
8051,Profit and Loss,What would be the selling price if the cost price is 82 and profit is 11%?,87.99,93.82,98.68,91.02,Option D: 91.02,Hard
8052,Profit and Loss,"If the cost price is 94 and the profit percentage is 16%, calculate the selling price.",109.04,107.9,110.28,116.68,Option A: 109.04,Medium
8053,"Time, Speed, Distance",Find the travel time for 134 km at 25 km/hr.,2.88,10.97,6.59,5.36,Option D: 5.36,Medium
8054,Pipes and Cisterns,Determine the filling time for a tank of 57 liters given a fill rate of 2 hours and an empty rate of 1 hours.,55.67,61.55,57.0,58.63,Option C: 57.0,Hard
8055,Time and Work,Calculate the time for A and B to complete a work together if A takes 8 days and B takes 8 days individually.,5.78,9.99,1.09,4.0,Option D: 4.0,Easy
8056,Profit and Loss,"Given a cost price of 62 and a profit percentage of 20%, determine the selling price.",70.03,76.3,74.4,83.96,Option C: 74.4,Hard
8057,Ratio and Proportion,A is 34 and the ratio of A to B is 5:1. What is B?,9.49,11.72,6.8,5.73,Option C: 6.8,Easy
8058,Time and Work,"Given A can do a work in 6 days and B in 1 days, find the total time they will take working together.",-1.46,2.65,0.86,5.72,Option C: 0.86,Medium
8059,Average,"Calculate the average value of 46, 46, and 80.",65.54,57.33,61.64,55.17,Option B: 57.33,Hard
8060,"Time, Speed, Distance",Find the travel time for 197 km at 10 km/hr.,24.89,19.7,22.24,17.45,Option B: 19.7,Hard
8061,Profit and Loss,Find the selling price of a product with a cost price of 69 and a 15% profit.,79.35,74.89,87.09,83.97,Option A: 79.35,Hard
8062,Time and Work,How many days will it take for A and B to finish a work together if A takes 7 days and B takes 9 days?,5.2,3.94,8.31,2.07,Option B: 3.94,Hard
8063,Algebra,"What does ax + b equal if a = 9, b = 3, x = 8?",85,75,73,79,Option B: 75,Hard
8064,Ratio and Proportion,"If A:B = 1:2 and A is 23, determine the value of B.",46.0,51.58,43.26,47.23,Option A: 46.0,Easy
8065,Percentage,Determine the value of 7% of 82.,5.74,12.37,1.08,8.47,Option A: 5.74,Medium
8066,Average,"What is the mean of the numbers 73, 57, and 60?",61.4,72.19,63.33,66.63,Option C: 63.33,Medium
8067,Algebra,"If a = 9, b = 1, and x = 6, what is ax + b?",59,55,53,61,Option B: 55,Medium
8068,Average,"Find the arithmetic mean of 60, 43, and 11.",41.72,38.0,33.11,47.6,Option B: 38.0,Easy
8069,"Time, Speed, Distance",A vehicle covers 130 km at 10 km/hr. How much time does it take?,15.28,17.8,10.93,13.0,Option D: 13.0,Hard
8070,Pipes and Cisterns,A pipe fills a tank in 7 hours and another empties it in 3 hours. Calculate the time to fill the tank of 54 liters with both pipes open.,12.09,13.5,18.3,15.15,Option B: 13.5,Hard
8071,Ratio and Proportion,Find B given that the ratio of A to B is 3:5 and A equals 31.,50.23,57.12,54.0,51.67,Option D: 51.67,Hard
8072,Algebra,"Given a = 10, b = 10, and x = 10, compute ax + b.",118,107,110,113,Option C: 110,Easy
8073,Percentage,Find 21% of 136.,32.67,36.24,25.93,28.56,Option D: 28.56,Medium
8074,Percentage,What is 41% of 62?,34.28,21.83,30.22,25.42,Option D: 25.42,Medium
8075,Algebra,"Calculate the value of ax + b for a = 6, b = 3, and x = 5.",38,41,30,33,Option D: 33,Easy
8076,Average,"Calculate the average value of 48, 38, and 24.",36.67,45.51,40.28,34.15,Option A: 36.67,Easy
8077,"Time, Speed, Distance",Calculate the time taken to travel 92 km at a speed of 25 km/hr.,9.41,2.22,5.54,3.68,Option D: 3.68,Hard
8078,Profit and Loss,"Given a cost price of 55 and a profit percentage of 6%, determine the selling price.",56.5,68.14,60.21,58.3,Option D: 58.3,Hard
8079,"Time, Speed, Distance",168 km distance is covered at 15 km/hr. Determine the time taken.,16.12,8.95,12.64,11.2,Option D: 11.2,Hard
8080,Time and Work,Calculate the time for A and B to complete a work together if A takes 9 days and B takes 10 days individually.,2.88,4.74,6.97,10.18,Option B: 4.74,Hard
8081,Pipes and Cisterns,"A pipe can fill a tank in 3 hours and another pipe can empty it in 4 hours. If both are open, how long will it take to fill the tank of 53 liters?",-55.49,-50.27,-47.02,-53.0,Option D: -53.0,Medium
8082,Pipes and Cisterns,"If a tank is filled by a pipe in 3 hours and emptied by another in 4 hours, how long will it take to fill the tank of 47 liters when both pipes are open?",-49.2,-47.0,-44.41,-41.05,Option B: -47.0,Medium
8083,"Time, Speed, Distance",A vehicle covers 60 km at 28 km/hr. How much time does it take?,0.51,2.14,5.08,7.17,Option B: 2.14,Hard
8084,Algebra,"Calculate the value of ax + b for a = 2, b = 5, and x = 7.",18,19,24,27,Option B: 19,Medium
8085,Percentage,Determine the value of 17% of 66.,20.31,11.22,14.07,9.89,Option B: 11.22,Hard
8086,"Time, Speed, Distance",Calculate the time taken to travel 115 km at a speed of 17 km/hr.,12.4,6.76,3.86,9.28,Option B: 6.76,Medium
8087,Pipes and Cisterns,Determine the filling time for a tank of 42 liters given a fill rate of 5 hours and an empty rate of 1 hours.,10.5,15.11,8.93,11.74,Option A: 10.5,Medium
8088,Percentage,Find 38% of 177.,64.75,70.05,73.83,67.26,Option D: 67.26,Easy
8089,Ratio and Proportion,A is 13 and the ratio of A to B is 4:1. What is B?,8.18,3.25,4.7,2.08,Option B: 3.25,Hard
8090,Profit and Loss,"Given a cost price of 85 and a profit percentage of 12%, determine the selling price.",97.37,102.03,92.78,95.2,Option D: 95.2,Easy
8091,Ratio and Proportion,"If the ratio of A to B is 5:2 and A is 25, what is B?",8.49,14.78,11.05,10.0,Option D: 10.0,Easy
8092,Profit and Loss,What would be the selling price if the cost price is 83 and profit is 11%?,92.13,99.36,97.07,88.75,Option A: 92.13,Easy
8093,Profit and Loss,"Given a cost price of 62 and a profit percentage of 19%, determine the selling price.",72.33,75.29,73.78,83.11,Option C: 73.78,Hard
8094,Numbers,Calculate the total of 3 plus 29.,39,37,32,27,Option C: 32,Hard
8095,Profit and Loss,"If the cost price is 94 and the profit percentage is 6%, calculate the selling price.",99.64,104.14,97.56,105.88,Option A: 99.64,Hard
8096,Ratio and Proportion,A is 29 and the ratio of A to B is 4:3. What is B?,24.02,21.75,20.42,26.4,Option B: 21.75,Easy
8097,Percentage,What is 45% of 61?,27.45,31.1,33.66,23.12,Option A: 27.45,Easy
8098,"Time, Speed, Distance",Calculate the time taken to travel 161 km at a speed of 21 km/hr.,7.67,12.19,10.27,5.92,Option A: 7.67,Easy
8099,Percentage,Calculate 40% of 96.,36.08,38.4,47.82,40.64,Option B: 38.4,Easy
8100,"Time, Speed, Distance",Calculate the time taken to travel 80 km at a speed of 20 km/hr.,6.01,2.04,4.0,9.52,Option C: 4.0,Easy
8101,Percentage,Calculate 1% of 112.,4.28,-1.31,1.12,8.37,Option C: 1.12,Medium
8102,Pipes and Cisterns,"If a tank is filled by a pipe in 8 hours and emptied by another in 3 hours, how long will it take to fill the tank of 47 liters when both pipes are open?",8.28,13.46,10.59,9.4,Option D: 9.4,Medium
8103,Time and Work,"A takes 7 days to finish a work and B takes 8 days. Working together, how many days will they take?",1.65,5.09,3.73,9.34,Option C: 3.73,Hard
8104,Percentage,What is 2% of 139?,-1.67,11.98,2.78,7.45,Option C: 2.78,Medium
8105,Pipes and Cisterns,Find the time required to fill a tank of 56 liters if one pipe fills it in 3 hours and another empties it in 1 hours.,30.68,33.58,26.57,28.0,Option D: 28.0,Easy
8106,Percentage,7% of 82 is what?,15.33,5.74,8.74,2.19,Option B: 5.74,Medium
8107,Algebra,"Calculate the value of ax + b for a = 10, b = 6, and x = 9.",101,105,96,92,Option C: 96,Easy
8108,Algebra,"Calculate the value of ax + b for a = 4, b = 5, and x = 9.",41,42,47,38,Option A: 41,Easy
8109,Time and Work,How many days will it take for A and B to finish a work together if A takes 8 days and B takes 5 days?,0.37,7.23,3.08,5.92,Option C: 3.08,Hard
8110,Average,"What is the mean of the numbers 15, 66, and 61?",50.57,47.33,55.69,42.61,Option B: 47.33,Hard
8111,Profit and Loss,"If the cost price is 93 and the profit percentage is 11%, calculate the selling price.",100.85,110.35,103.23,104.98,Option C: 103.23,Easy
8112,Pipes and Cisterns,"If a tank is filled by a pipe in 9 hours and emptied by another in 2 hours, how long will it take to fill the tank of 58 liters when both pipes are open?",5.62,8.29,13.36,9.69,Option B: 8.29,Hard
8113,Algebra,"Given a = 3, b = 6, and x = 6, compute ax + b.",27,32,20,24,Option D: 24,Easy
8114,"Time, Speed, Distance",Find the travel time for 143 km at 19 km/hr.,7.53,6.08,9.28,12.73,Option A: 7.53,Easy
8115,Pipes and Cisterns,Determine the filling time for a tank of 49 liters given a fill rate of 5 hours and an empty rate of 1 hours.,17.6,13.3,12.25,10.42,Option C: 12.25,Medium
8116,Percentage,Calculate 9% of 71.,13.77,4.15,8.68,6.39,Option D: 6.39,Hard
8117,Profit and Loss,"If the cost price is 62 and the profit percentage is 18%, calculate the selling price.",81.73,73.16,76.16,69.05,Option B: 73.16,Medium
8118,Ratio and Proportion,"If the ratio of A to B is 5:1 and A is 21, what is B?",8.98,2.98,4.2,5.37,Option C: 4.2,Medium
8119,Ratio and Proportion,A is 15 and the ratio of A to B is 5:1. What is B?,3.0,5.65,0.14,7.82,Option A: 3.0,Easy
8120,Profit and Loss,A product costs 78 and is sold at a profit of 8%. What is the selling price?,84.24,81.41,90.31,88.53,Option A: 84.24,Easy
8121,Average,"Find the arithmetic mean of 49, 97, and 31.",62.2,66.59,57.78,59.0,Option D: 59.0,Medium
8122,Profit and Loss,"If the cost price is 75 and the profit percentage is 7%, calculate the selling price.",80.25,75.6,84.95,87.29,Option A: 80.25,Medium
8123,Numbers,Calculate the total of 40 plus 22.,62,64,68,58,Option A: 62,Hard
8124,Time and Work,"A takes 9 days to finish a work and B takes 8 days. Working together, how many days will they take?",4.24,5.7,2.74,9.84,Option A: 4.24,Easy
8125,Ratio and Proportion,A is 47 and the ratio of A to B is 2:1. What is B?,24.87,23.5,21.31,29.09,Option B: 23.5,Medium
8126,Ratio and Proportion,"If the ratio of A to B is 1:5 and A is 11, what is B?",59.73,56.48,55.0,53.1,Option C: 55.0,Medium
8127,Pipes and Cisterns,Determine the filling time for a tank of 50 liters given a fill rate of 5 hours and an empty rate of 2 hours.,14.65,16.67,18.93,21.18,Option B: 16.67,Easy
8128,Algebra,"Given a = 1, b = 3, and x = 3, compute ax + b.",6,7,2,12,Option A: 6,Hard
8129,Time and Work,Calculate the time for A and B to complete a work together if A takes 6 days and B takes 4 days individually.,8.19,5.3,2.4,0.92,Option C: 2.4,Easy
8130,Percentage,Determine the value of 38% of 65.,31.5,29.46,23.23,24.7,Option D: 24.7,Hard
8131,Algebra,"Calculate the value of ax + b for a = 3, b = 5, and x = 4.",27,19,17,16,Option C: 17,Medium
8132,Time and Work,"A takes 1 days to finish a work and B takes 6 days. Working together, how many days will they take?",3.57,-0.55,5.74,0.86,Option D: 0.86,Easy
8133,"Time, Speed, Distance",A vehicle covers 74 km at 28 km/hr. How much time does it take?,2.64,5.22,6.8,0.41,Option A: 2.64,Medium
8134,"Time, Speed, Distance",A vehicle covers 69 km at 26 km/hr. How much time does it take?,3.9,-0.17,2.65,8.41,Option C: 2.65,Hard
8135,Profit and Loss,A product costs 74 and is sold at a profit of 7%. What is the selling price?,87.61,76.33,79.18,82.83,Option C: 79.18,Hard
8136,Percentage,Calculate 33% of 185.,67.4,63.05,56.77,61.05,Option D: 61.05,Easy
8137,Average,"Find the arithmetic mean of 41, 35, and 72.",58.68,52.68,49.33,44.69,Option C: 49.33,Easy
8138,Pipes and Cisterns,A pipe fills a tank in 3 hours and another empties it in 2 hours. Calculate the time to fill the tank of 31 liters with both pipes open.,36.39,29.69,32.77,31.0,Option D: 31.0,Easy
8139,Ratio and Proportion,"If the ratio of A to B is 3:3 and A is 42, what is B?",46.61,40.86,42.0,44.09,Option C: 42.0,Medium
8140,Average,"The average of 56, 39, and 39 is:",44.67,42.24,51.56,46.88,Option A: 44.67,Easy
8141,Ratio and Proportion,"If the ratio of A to B is 1:4 and A is 43, what is B?",172.0,173.7,169.27,176.05,Option A: 172.0,Medium
8142,Percentage,21% of 132 is what?,32.61,35.17,23.26,27.72,Option D: 27.72,Hard
8143,"Time, Speed, Distance",A vehicle covers 54 km at 28 km/hr. How much time does it take?,1.93,4.47,0.34,7.51,Option A: 1.93,Hard
8144,Numbers,Add 40 and 12. What do you get?,51,58,54,52,Option D: 52,Medium
8145,Average,"49, 68, and 61 have an average of:",59.33,63.39,56.23,66.95,Option A: 59.33,Hard
8146,Percentage,Determine the value of 6% of 200.,10.69,15.06,21.23,12.0,Option D: 12.0,Medium
8147,"Time, Speed, Distance",123 km distance is covered at 18 km/hr. Determine the time taken.,6.83,8.38,12.61,3.97,Option A: 6.83,Easy
8148,Ratio and Proportion,"If the ratio of A to B is 4:5 and A is 34, what is B?",42.5,41.44,44.79,46.78,Option A: 42.5,Easy
8149,Percentage,Calculate 44% of 87.,40.5,37.0,38.28,44.66,Option C: 38.28,Medium
8150,Percentage,Determine the value of 31% of 108.,32.44,35.93,33.48,40.63,Option C: 33.48,Easy
8151,Time and Work,"If A can complete a work in 5 days and B can complete it in 5 days, how many days will they take to complete the work together?",7.0,2.5,4.7,0.47,Option B: 2.5,Medium
8152,Pipes and Cisterns,"If a tank is filled by a pipe in 3 hours and emptied by another in 1 hours, how long will it take to fill the tank of 49 liters when both pipes are open?",24.5,29.99,26.48,23.1,Option A: 24.5,Medium
8153,"Time, Speed, Distance",Calculate the time taken to travel 63 km at a speed of 12 km/hr.,3.19,5.25,9.79,7.45,Option B: 5.25,Hard
8154,Profit and Loss,A product costs 57 and is sold at a profit of 16%. What is the selling price?,63.01,66.12,67.16,72.9,Option B: 66.12,Medium
8155,Pipes and Cisterns,"If a tank is filled by a pipe in 6 hours and emptied by another in 1 hours, how long will it take to fill the tank of 37 liters when both pipes are open?",12.08,7.4,6.0,9.64,Option B: 7.4,Medium
8156,Average,"What is the mean of the numbers 72, 68, and 47?",69.8,62.33,59.79,63.56,Option B: 62.33,Easy
8157,"Time, Speed, Distance",Find the travel time for 157 km at 22 km/hr.,5.63,7.14,11.42,9.26,Option B: 7.14,Hard
8158,Average,"What is the mean of the numbers 82, 98, and 24?",77.22,68.0,64.11,69.52,Option B: 68.0,Easy
8159,Average,"The average of 47, 92, and 87 is:",78.4,83.58,75.33,72.01,Option C: 75.33,Medium
8160,Percentage,What is 12% of 88?,15.53,17.3,7.63,10.56,Option D: 10.56,Easy
8161,"Time, Speed, Distance",Calculate the time taken to travel 71 km at a speed of 22 km/hr.,8.0,5.63,0.87,3.23,Option D: 3.23,Easy
8162,Profit and Loss,"If the cost price is 71 and the profit percentage is 18%, calculate the selling price.",90.6,81.01,83.78,88.07,Option C: 83.78,Easy
8163,Percentage,Calculate 48% of 154.,73.92,70.92,82.54,75.16,Option A: 73.92,Hard
8164,Average,"What is the mean of the numbers 46, 4, and 69?",42.76,46.69,38.62,39.67,Option D: 39.67,Hard
8165,Numbers,Find the result when you add 6 and 22.,26,35,31,28,Option D: 28,Easy
8166,Pipes and Cisterns,Find the time required to fill a tank of 33 liters if one pipe fills it in 4 hours and another empties it in 2 hours.,22.44,16.5,14.21,18.1,Option B: 16.5,Easy
8167,Time and Work,"A takes 5 days to finish a work and B takes 2 days. Working together, how many days will they take?",3.05,1.43,-0.5,6.67,Option B: 1.43,Hard
8168,Algebra,"Calculate the value of ax + b for a = 9, b = 7, and x = 5.",60,47,52,55,Option C: 52,Medium
8169,Algebra,"Find the result of a * x + b given a = 8, b = 5, x = 1.",13,23,11,18,Option A: 13,Medium
8170,Profit and Loss,Find the selling price of a product with a cost price of 94 and a 7% profit.,104.43,108.43,100.58,98.24,Option C: 100.58,Hard
8171,Numbers,Add 39 and 25. What do you get?,64,70,65,59,Option A: 64,Easy
8172,Pipes and Cisterns,"A pipe can fill a tank in 1 hours and another pipe can empty it in 1 hours. If both are open, how long will it take to fill the tank of 57 liters?",2.71,4.88,0,-2.66,Option C: 0,Hard
8173,Profit and Loss,"Given a cost price of 94 and a profit percentage of 6%, determine the selling price.",105.97,101.52,99.64,94.69,Option C: 99.64,Easy
8174,Pipes and Cisterns,"If a tank is filled by a pipe in 4 hours and emptied by another in 4 hours, how long will it take to fill the tank of 43 liters when both pipes are open?",2.42,0,4.46,-1.48,Option B: 0,Easy
8175,Percentage,Determine the value of 40% of 167.,70.94,76.12,63.3,66.8,Option D: 66.8,Medium
8176,Ratio and Proportion,Find B given that the ratio of A to B is 5:4 and A equals 34.,31.9,24.55,29.5,27.2,Option D: 27.2,Medium
8177,Numbers,Find the result when you add 3 and 29.,39,32,37,28,Option B: 32,Easy
8178,Time and Work,"Given A can do a work in 1 days and B in 9 days, find the total time they will take working together.",0.9,2.47,5.53,-0.11,Option A: 0.9,Easy
8179,Average,"The average of 39, 71, and 22 is:",45.31,40.09,44.0,51.01,Option C: 44.0,Medium
8180,Pipes and Cisterns,"If a tank is filled by a pipe in 10 hours and emptied by another in 5 hours, how long will it take to fill the tank of 43 liters when both pipes are open?",8.6,14.28,6.38,10.79,Option A: 8.6,Medium
8181,Percentage,Find 47% of 61.,28.67,32.4,24.32,37.15,Option A: 28.67,Medium
8182,"Time, Speed, Distance","If a vehicle travels 97 km at a speed of 14 km/hr, how long will it take to cover the distance?",11.7,8.13,4.95,6.93,Option D: 6.93,Medium
8183,Profit and Loss,"Given a cost price of 70 and a profit percentage of 7%, determine the selling price.",71.1,79.26,84.12,74.9,Option D: 74.9,Hard
8184,Average,"The average of 60, 41, and 70 is:",63.29,59.82,57.0,52.28,Option C: 57.0,Medium
8185,Percentage,Find 31% of 64.,19.84,22.35,15.7,26.96,Option A: 19.84,Medium
8186,Time and Work,How many days will it take for A and B to finish a work together if A takes 7 days and B takes 3 days?,2.1,0.1,3.7,7.84,Option A: 2.1,Medium
8187,Time and Work,"A takes 3 days to finish a work and B takes 3 days. Working together, how many days will they take?",1.5,-0.75,3.27,5.65,Option A: 1.5,Easy
8188,Profit and Loss,What would be the selling price if the cost price is 59 and profit is 19%?,78.05,70.21,74.85,67.52,Option B: 70.21,Medium
8189,Time and Work,"If A can complete a work in 4 days and B can complete it in 10 days, how many days will they take to complete the work together?",2.86,8.8,-0.05,5.42,Option A: 2.86,Easy
8190,Time and Work,Calculate the time for A and B to complete a work together if A takes 3 days and B takes 2 days individually.,-0.97,5.55,1.2,3.21,Option C: 1.2,Hard
8191,"Time, Speed, Distance",A vehicle covers 91 km at 28 km/hr. How much time does it take?,9.11,5.02,3.25,1.8,Option C: 3.25,Easy
8192,Ratio and Proportion,"If A:B = 5:4 and A is 23, determine the value of B.",20.11,24.02,15.45,18.4,Option D: 18.4,Hard
8193,Pipes and Cisterns,A pipe fills a tank in 3 hours and another empties it in 5 hours. Calculate the time to fill the tank of 44 liters with both pipes open.,-19.59,-16.96,-24.44,-22.0,Option D: -22.0,Medium
8194,"Time, Speed, Distance","If a vehicle travels 152 km at a speed of 16 km/hr, how long will it take to cover the distance?",10.7,6.64,14.23,9.5,Option D: 9.5,Easy
8195,Algebra,"If a = 1, b = 3, and x = 10, what is ax + b?",13,20,9,16,Option A: 13,Easy
8196,Algebra,"If a = 10, b = 4, and x = 9, what is ax + b?",103,95,94,91,Option C: 94,Hard
8197,Algebra,"If a = 3, b = 7, and x = 1, what is ax + b?",14,18,10,8,Option C: 10,Medium
8198,Profit and Loss,What would be the selling price if the cost price is 54 and profit is 18%?,60.94,67.59,72.28,63.72,Option D: 63.72,Easy
8199,Percentage,Determine the value of 45% of 98.,44.1,53.38,46.67,39.45,Option A: 44.1,Hard
8200,"Time, Speed, Distance",114 km distance is covered at 19 km/hr. Determine the time taken.,8.55,6.0,4.12,11.92,Option B: 6.0,Hard
8201,Time and Work,How many days will it take for A and B to finish a work together if A takes 3 days and B takes 3 days?,6.54,3.83,-1.43,1.5,Option D: 1.5,Hard
8202,Pipes and Cisterns,A pipe fills a tank in 8 hours and another empties it in 5 hours. Calculate the time to fill the tank of 31 liters with both pipes open.,16.21,12.0,10.33,8.75,Option C: 10.33,Medium
8203,Numbers,Add 28 and 45. What do you get?,69,79,75,73,Option D: 73,Easy
8204,"Time, Speed, Distance",170 km distance is covered at 22 km/hr. Determine the time taken.,5.28,12.9,9.11,7.73,Option D: 7.73,Hard
8205,"Time, Speed, Distance",Find the travel time for 121 km at 26 km/hr.,3.16,10.53,6.45,4.65,Option D: 4.65,Medium
8206,Ratio and Proportion,"If A:B = 3:1 and A is 13, determine the value of B.",2.37,4.33,5.37,8.64,Option B: 4.33,Easy
8207,Ratio and Proportion,"If A:B = 3:1 and A is 13, determine the value of B.",10.07,6.89,3.2,4.33,Option D: 4.33,Easy
8208,Algebra,"Find the result of a * x + b given a = 7, b = 6, x = 2.",20,17,24,26,Option A: 20,Hard
