Serial Number,Topic,Question,Answer
6952,Algebra,Solve for x: 7x = -4.,0.5714285714285714
6953,Algebra,"If 8x + -8 = -10, find the value of x.",-0.25
6954,Numbers,Is 44 an integer?,Yes
6955,Percentage,"If 89% of a number is added to the number, what is the result?",4035.9550561797755
6956,Algebra,Calculate x in the equation 8x + 5 = -10.,-1.875
6957,Average,"If the average of 94, 49, and ? is 87, find the missing number if one is unknown.",118
6958,Time Speed Distance,Determine the distance covered by a train traveling at 50 km/h for 9 hours.,450
6959,Numbers,What is the next integer after 49?,Yes
6960,Numbers,Is the difference between 90 and 68 an integer?,Yes
6961,Numbers,Is the difference between 48 and 90 an integer?,Yes
6962,Profit and Loss,"If a discount of 36% is given on 1006, and the selling price is 809, find the profit/loss.",Loss of 86
6963,Algebra,Find the solution to the equation 10x² + 6x + -6 = 0.,"(0.53, -1.13)"
6964,Average,"Find the average of the following numbers: [97, 96, 54, 67, 90]",80.8
6965,Percentage,What is the final value when 44% of 659 is added to it?,948.96
6966,Ratio and Proportion,"For the ratio 44:75, what is the value of b if a = 60?",102.27272727272727
6967,Numbers,Is 45 a composite number?,Yes
6968,Average,"Find the mean value if 2 is added to each of the numbers in the set [4, 44, 94, 1, 9].",32.4
6969,Time and Work,9 people finish a task in 39 days. How long will 1 person take?,351
6970,Profit and Loss,Find the selling price if the cost price is 1000 and the profit is 40%.,Profit of -48
6971,Time and Work,"If 10 persons complete a work in 19 days, how long will it take for 1 person?",190
6972,Ratio and Proportion,"Solve for b in the ratio 81:96, when a = 89.",105.48148148148148
6973,Percentage,Calculate 18% of 143 and then subtract it from the original value.,27716.666666666668
6974,Pipes and Cisterns,"If Pipe A fills a tank in 22 hours, and Pipe B can fill 0.19 of it in 41 hours, how long will it take both pipes to fill the tank?",35.22
6975,Time Speed Distance,"If a car travels for 1 hours at 79 km/h and then for 1 hours at 24 km/h, what is the total distance?",44
6976,Algebra,Calculate x: 8x + 1 = 0.,0.625
6977,Ratio and Proportion,"If a is 4 times b, and the ratio is 68:23, what is the value of a?",92
6978,Time Speed Distance,"If a car travels for 6 hours at 81 km/h and then for 8 hours at 74 km/h, what is the total distance?",378
6979,Percentage,"If 76% of 953 is added and then 38% is subtracted, what is the result?",1039.9136
6980,Profit and Loss,A product is sold at a profit percentage of 30 after buying it at 236. What is the selling price?,Profit of 371
6981,Time and Work,Calculate the total time if 2 work for 5 days and then 6 complete the rest of the work.,6.67
6982,Average,"What is the average of the square of these numbers: [8, 6, 5, 6, 4]?",35.4
6983,Profit and Loss,"If the cost price of a product is 146 and it is sold after a discount of 23% on the marked price of 1468, calculate the profit/loss.",Loss of 480
6984,Algebra,Solve for x in the equation 8x + 8 = -8.,-1.0
6985,Algebra,"For the equation 3x + 3 = -5, calculate x.",-2.6666666666666665
6986,Percentage,Calculate 45% of 259.,1165500
6987,Pipes and Cisterns,"Determine the time taken if Pipe A fills a tank in 34 hours, and Pipe B in 18 hours, but Pipe C empties it in 32 hours, and all three are used for 22 hours.",1.87
6988,Average,"Calculate the average for the numbers: [49, 90, 94, 45, 23]",60.2
6989,Algebra,Solve the equation 1x² + 7x + 4 = 0 for x.,"(-0.63, -6.37)"
6990,Ratio and Proportion,"Given the ratio 79:45 and a = 35, what is b?",19.936708860759495
6991,Time Speed Distance,"If a car accelerates from 29 km/h to 76 km/h in 5 hours, what is the total distance covered?",225
6992,Pipes and Cisterns,"Given that Pipe A fills a tank in 49 hours and Pipe B in 24 hours, calculate the time taken when both pipes are used together.",16.11
6993,Algebra,Find the value of x if 7x + 0 = 0.,0.0
6994,Profit and Loss,"If a product is sold at a loss of 12%, what was its cost price if the selling price is 423?",Loss of 233
6995,Percentage,"If a value is 776, what will 56% of it be?",4345600
6996,Numbers,Is the number 100 both prime and an integer?,No
6997,Average,"Calculate the geometric mean of the numbers: [10, 7, 5, 1].",4.33
6998,Algebra,Determine the solution to the equation 9x + -10 = 4.,1.5555555555555556
6999,Time Speed Distance,"If a train covers 364 km at 91 km/h and then reduces speed by 13 km/h for the remaining journey, what is the total time taken?",364
7000,Time Speed Distance,Determine the distance covered by a train traveling at 63 km/h for 1 hours.,63
7001,Time Speed Distance,"If a car accelerates from 75 km/h to 98 km/h in 3 hours, what is the total distance covered?",165
7002,Algebra,Calculate x: 4x + -7 = 0.,3.5
7003,Numbers,Is 34 a prime number if it is greater than 70?,No
7004,Algebra,Solve for x: 6x = -8.,1.3333333333333333
7005,Pipes and Cisterns,"If Pipe A fills a tank in 12 hours and Pipe B in 47 hours, how long will both pipes take together?",9.56
7006,Time and Work,How long will it take for 4 to complete a job if they work 0.2 of the time and 2 work the rest?,225.0
7007,Numbers,Is 92 a prime number?,No
7008,Time Speed Distance,How long will it take to cover 104 km if the speed is reduced by 50 km/h?,-4.33
7009,Average,Determine the average of the first 4 natural numbers.,74.4
7010,Pipes and Cisterns,"Calculate the total time taken to fill a tank if Pipe A fills it in 38 hours, Pipe B in 45 hours, and Pipe C empties it in 38 hours.",20.6
7011,Time and Work,Calculate the total time if 3 work for 19 days and then 9 complete the rest of the work.,25.33
7012,Percentage,"If 48% of a number is added to the number, what is the result?",9504.166666666668
7013,Average,"Calculate the average for the numbers: [3, 99, 88, 1, 79]",54.0
7014,Pipes and Cisterns,"Calculate the time taken if Pipe A fills a tank in 10 hours, but Pipe B empties it in 31 hours and both operate for 1 hours.",0.17
7015,Profit and Loss,What is the cost price if a product is sold for 386 at a profit of 20?,Profit of 157
7016,Algebra,Solve for x in the equation 9x + 3 = 1 when 9 ≠ 0.,-0.3333333333333333
7017,Pipes and Cisterns,"If Pipe A can fill a tank in 26 hours, and Pipe B in 25 hours, but Pipe C empties 0.62 of the tank in 20 hours, find the time to fill the tank.",25.61
7018,Algebra,Determine the solution to the equation 10x + -6 = -4.,0.2
7019,Profit and Loss,What is the profit if the selling price is 447 and the cost price is 704?,Profit of -257
7020,Profit and Loss,What is the profit if the selling price is 451 and the cost price is 777?,Profit of -326
7021,Ratio and Proportion,"Given the ratio 89:74, find the value of c when b = 83 and a is doubled.",178
7022,Time and Work,"If 7 persons complete a work in 17 days, how long will it take for 1 person?",119
7023,Average,"What is the arithmetic mean of the numbers: [67, 66, 46, 52, 85]?",63.2
7024,Numbers,Is 22 a natural number and also a prime?,Yes
7025,Time Speed Distance,How far will a car travel if it goes at 27 km/h for 9 hours?,243
7026,Pipes and Cisterns,"If Pipe A can fill a tank in 25 hours, and Pipe B can empty it in 40 hours, find the time required to fill the tank if both are used together for 20 hours.",0.3
7027,Average,"Calculate the weighted average if the weights are [4, 5, 4, 1, 4] and the corresponding numbers are [80, 93, 62, 81, 29].",68.33
7028,Algebra,Find the solution to the equation 9x² + 7x + -7 = 0.,"(0.57, -1.35)"
7029,Algebra,Solve for x: 5x = 0.,0.0
7030,Ratio and Proportion,"Calculate the value of a if the ratio of a to b is 13:5, and the sum of a and b is 18.",13
7031,Average,"If the average of 17, 20, and ? is 80, find the missing number if one is unknown.",203
7032,Average,"If the average of 82, 8, and ? is 66, find the missing number if one is unknown.",108
7033,Average,"What is the average of the given numbers: [70, 91, 84, 47, 84]?",75.2
7034,Percentage,"If a value is 702, what will 44% of it be?",3088800
7035,Time and Work,"Determine the time taken if 14 start the work, but 3 complete it in 24 days.",24
7036,Ratio and Proportion,"If a = 74, what is the ratio of a to b when b = 84?",39.55172413793103
7037,Average,"What is the average of the cubes of these numbers: [5, 5, 4, 4]?",94.5
7038,Pipes and Cisterns,Calculate the time to fill 0.14 of a tank if Pipe A fills it in 49 hours and Pipe B empties 0.86 of it in 28 hours.,32.68
7039,Profit and Loss,What is the profit/loss percentage if the cost price is 929 and the selling price is 414?,Loss of 515
7040,Percentage,Calculate 40% of 784.,3136000
7041,Algebra,Determine the roots of the quadratic equation 6x² + 3x + -6 = 0.,"(0.78, -1.28)"
7042,Percentage,Calculate the percentage decrease when a value drops from 445 to 666.,-49.66292134831461
7043,Algebra,Calculate x in the equation 3x + 5 = 10.,1.6666666666666667
7044,Ratio and Proportion,Determine the ratio of a to b when a = 100 and b = 96.,950.0
7045,Time Speed Distance,How long will it take to cover 76 km if the speed is reduced by 15 km/h?,1.25
7046,Ratio and Proportion,"If the ratio 19:45 is equivalent to the ratio 78:70, find the value of b given a = 90.",184.73684210526315
7047,Time and Work,Calculate the number of days required for 8 to complete the same work done by 4 in 20 days.,10.0
7048,Time and Work,6 people can complete a work in 45 days. How many days will 1 person take to complete the same work?,270
7049,Percentage,What is 70% of 694?,4858000
7050,Pipes and Cisterns,"Pipe A can fill 0.23 of a tank in 17 hours, and Pipe B can fill the remaining 0.77 in 48 hours. How long will it take to fill the tank?",33.82
7051,Time Speed Distance,A car is moving at a speed of 29 km/h for 4 hours. How far does it travel?,116
7052,Time Speed Distance,A car is moving at a speed of 63 km/h for 2 hours. How far does it travel?,126
7053,Algebra,Calculate x in the equation 7x + 8 = 5.,-0.42857142857142855
7054,Pipes and Cisterns,"If Pipe A fills a tank in 45 hours and Pipe B in 23 hours, how long will both pipes take together?",15.22
7055,Profit and Loss,"If a product costs 986 and sells for 663, what is the profit/loss?",Loss of 323
7056,Percentage,Find the percentage value of 867 when it is increased by 62%.,1404.54
7057,Profit and Loss,Find the selling price if the cost price is 219 and the profit is 7%.,Profit of 541
7058,Time Speed Distance,"If a train covers 408 km at 68 km/h and then reduces speed by 42 km/h for the remaining journey, what is the total time taken?",408
7059,Ratio and Proportion,"If the ratio 8:100 is tripled, what are the new values of a and b?",24:300
7060,Algebra,Solve the equation 2x² + 2x + -1 = 0 for x.,"(0.37, -1.37)"
7061,Algebra,Solve for x: 5x + 7 = 0,-1.4
7062,Algebra,"For the equation 9x + -3 = 8, calculate x.",1.2222222222222223
7063,Time and Work,How many days will it take for 1 person to do a job if 6 people can do it in 14 days?,84
7064,Algebra,Determine the value of x if 2x + 6 = 7.,0.5
7065,Algebra,Calculate x in the equation 2x + 4 = -2.,-3.0
7066,Average,"Determine the mean value of these numbers: [24, 69, 15, 70, 16]",38.8
7067,Algebra,Solve for x in the equation 1x + 7 = -9 when 1 ≠ 0.,-7.0
7068,Numbers,Determine if 84 is a prime or composite number.,No
7069,Time and Work,"If 9 people complete a task in 22 days, how long will it take if 27 people are involved?",7.33
7070,Percentage,"If 4% of a number is 5755, what is the number?",143875.0
7071,Percentage,Determine the value when 215 is increased by 34% and then decreased by 38%.,288.1
7072,Time and Work,"If 4 can complete a job in 33 days, what fraction of the job can 132 complete in one day?",8.25
7073,Pipes and Cisterns,"Pipe A can fill a tank in 17 hours, and Pipe B can fill it in 12 hours. How long will it take both pipes to fill the tank together?",7.03
7074,Average,"Find the mean value if 4 is added to each of the numbers in the set [23, 90, 51, 62, 78].",64.8
7075,Ratio and Proportion,Determine the ratio of a to b when a = 3 and b = 59.,0.375
7076,Profit and Loss,"If a product costs 477 and sells for 324, what is the profit/loss?",Loss of 153
7077,Numbers,Is the number 79 both prime and an integer?,Yes
7078,Average,"Determine the mean value of these numbers: [60, 95, 14, 79, 92]",68.0
7079,Percentage,What percentage of 3551 is 860?,24.218529991551677
7080,Percentage,"If 15% of a value is 3168, what would 58% of the same value be?",10.384499999999992
7081,Profit and Loss,"If the cost price of a product is 219 and it is sold after a discount of 5% on the marked price of 1915, calculate the profit/loss.",Loss of 415
7082,Ratio and Proportion,"Given the ratio 25:94 and a = 59, what is b?",221.84
7083,Percentage,"If 36% of 109 is added and then 28% is subtracted, what is the result?",106.73279999999998
7084,Algebra,Solve the equation 3x² + 9x + 0 = 0 for x.,"(0.0, -3.0)"
7085,Pipes and Cisterns,Determine the time required to fill 0.84 of a tank if Pipe A can fill the whole tank in 43 hours and Pipe B in 32 hours.,40.76
7086,Percentage,Calculate 69% of 885 and then subtract it from the original value.,2089.855072463768
7087,Numbers,What is the next integer after 70?,Yes
7088,Time Speed Distance,"If a car accelerates from 88 km/h to 118 km/h in 3 hours, what is the total distance covered?",294
7089,Numbers,What is the next integer after 94?,Yes
7090,Pipes and Cisterns,"Calculate the time required to fill a tank if Pipe A fills it in 45 hours, Pipe B fills it in 47 hours, and Pipe C empties it in 35 hours.",22.99
7091,Ratio and Proportion,"Given the ratio 19:12, find the value of c when b = 44 and a is doubled.",38
7092,Time Speed Distance,Calculate the total distance if a car travels for 5 hours at a constant speed of 73 km/h.,365
7093,Profit and Loss,A product is marked at 1795 and sold at 734. What is the profit or loss?,Loss of 562
7094,Ratio and Proportion,"If the ratio of a to b is 33:67, and b = 77, what is the value of a?",37.92537313432836
7095,Numbers,Is 1 an integer?,Yes
7096,Pipes and Cisterns,"Pipe A can fill a tank in 42 hours, and Pipe B in 11 hours, but Pipe C can empty it in 24 hours. Find the time taken to fill the tank if all three pipes are used.",13.69
7097,Percentage,What percentage of 3871 is 231?,5.967450271247739
7098,Time and Work,4 people can complete a work in 46 days. How many days will 1 person take to complete the same work?,184
7099,Percentage,Find the original value if 5% of it equals 6460.,129200.0
7100,Pipes and Cisterns,"If Pipe A fills a tank in 40 hours and Pipe B in 34 hours, how long will both pipes take together?",18.38
7101,Time Speed Distance,How far will a car travel if it goes at 27 km/h for 5 hours?,135
7102,Algebra,"If 10x + -9 = -10, find the value of x.",-0.1
7103,Numbers,Can 7 be both a prime and a composite number?,Yes
7104,Average,"If the average of 68, 100, and 68 is 78.66666666666667, and one number is replaced by 15, find the new average.",61.0
7105,Pipes and Cisterns,"If Pipe A fills a tank in 25 hours and Pipe B can empty it in 46 hours, how long will it take to fill the tank if both are used together?",54.76
7106,Time and Work,"If 4 can do a job in 41 days, how long will 2 take if they work twice as fast?",82.0
7107,Time Speed Distance,A car covers 105 km at 40 km/h and 54 km at 44 km/h. Find the total time taken.,35
7108,Numbers,Determine whether the sum of 26 and 60 is a composite number.,No
7109,Pipes and Cisterns,"How long will it take to fill a tank if Pipe A and Pipe B take 40 and 16 hours, respectively?",11.43
7110,Time and Work,"If 4 can do a job in 35 days, how long will 2 take if they work twice as fast?",70.0
7111,Percentage,"If 91% of a number is added to the number, what is the result?",6949.450549450549
7112,Time Speed Distance,What is the average speed of a car that covers 656 km in 8 hours?,656
7113,Numbers,Is 38 a perfect square and an integer?,Yes
7114,Algebra,Calculate x: 4x + 10 = 0.,-3.5
7115,Percentage,Calculate 7% of 351.,245700
7116,Time Speed Distance,"At a speed of 56 km/h, how far will a car travel in 3 hours?",168
7117,Percentage,Calculate the percentage increase from 225 to 285.,26.666666666666668
7118,Pipes and Cisterns,"Pipe A can fill a tank in 16 hours, and Pipe B in 22 hours, but Pipe C can empty it in 42 hours. Find the time taken to fill the tank if all three pipes are used.",11.88
7119,Ratio and Proportion,"If the ratio 47:1 is equivalent to the ratio 66:47, find the value of b given a = 55.",1.4042553191489362
7120,Time and Work,3 people can complete a work in 44 days. How many days will 1 person take to complete the same work?,132
7121,Pipes and Cisterns,"If Pipe A fills a tank in 26 hours, and Pipe B can fill 0.13 of it in 20 hours, how long will it take both pipes to fill the tank?",20.62
7122,Profit and Loss,A product is bought for 590 and sold at a profit of 38%. Find the selling price.,Profit of -357
7123,Pipes and Cisterns,Calculate the time to fill 0.32 of a tank if Pipe A fills it in 41 hours and Pipe B empties 0.68 of it in 15 hours.,46.72
7124,Percentage,What is 93% of 853?,7932900
7125,Percentage,"If 20% of a number is 7116, what is the number?",35580.0
7126,Algebra,Solve the equation 5x² + 6x + -3 = 0 for x.,"(0.38, -1.58)"
7127,Algebra,Solve for x in the equation 10x + 1 = 0.,-0.1
7128,Time Speed Distance,Calculate the time taken to travel 44 km at a speed of 44 km/h.,1.0
7129,Time and Work,Calculate the time taken if 8 work for 13 days and then 4 complete the remaining work.,19.5
7130,Pipes and Cisterns,Determine the time required to fill 0.84 of a tank if Pipe A can fill the whole tank in 50 hours and Pipe B in 34 hours.,46.5
7131,Time and Work,"For a job done by 7 people in 24 days, how many days would one person need?",168
7132,Percentage,"If the original price is 372, what is 40% discount?",223.2
7133,Percentage,"If a value is 876, what will 20% of it be?",1752000
7134,Time and Work,"If 7 can do 0.1 of a job in 31 days, how long will it take them to complete the whole job?",310.0
7135,Profit and Loss,What is the cost price if a product is sold for 520 at a profit of 23?,Profit of -428
7136,Ratio and Proportion,"If the ratio 95:49 is tripled, what are the new values of a and b?",285:147
7137,Pipes and Cisterns,"Given that Pipe A fills a tank in 28 hours and Pipe B in 36 hours, calculate the time taken when both pipes are used together.",15.75
7138,Profit and Loss,"If a product costs 352 and sells for 476, what is the profit/loss?",Loss of 124
7139,Ratio and Proportion,Determine the original values of a and b if their ratio is 9:9 and their sum is 18.,9:9
7140,Pipes and Cisterns,"Pipes A and B can fill a tank in 45 hours and 46 hours, respectively. How long will it take if both pipes are used?",22.75
7141,Numbers,Find the next composite number after 57.,Yes
7142,Time and Work,Calculate the number of days required for 6 to complete the same work done by 3 in 41 days.,20.5
7143,Time Speed Distance,Determine the speed required to cover 85 km in 1 hours.,85
7144,Time Speed Distance,"If a car accelerates from 71 km/h to 118 km/h in 2 hours, what is the total distance covered?",112
7145,Profit and Loss,What is the profit if the selling price is 359 and the cost price is 687?,Profit of -328
7146,Profit and Loss,"If a discount of 21% is given on 1598, and the selling price is 921, find the profit/loss.",Loss of 774
7147,Percentage,"If 264 is 10% more than another value, what is that value?",239.99999999999997
7148,Time Speed Distance,A car drives for 9 hours at 35 km/h. Calculate the distance traveled.,315
7149,Time Speed Distance,"If a train covers 225 km at 75 km/h and then reduces speed by 10 km/h for the remaining journey, what is the total time taken?",225
7150,Algebra,Find the solution to the equation 6x² + 10x + 4 = 0.,"(-0.67, -1.0)"
7151,Time and Work,Calculate the number of days required for 12 to complete the same work done by 6 in 29 days.,14.5
7152,Pipes and Cisterns,"Pipes A and B can fill a tank in 26 hours and 41 hours, respectively. How long will it take if both pipes are used?",15.91
7153,Algebra,Find the roots of the equation 6x² + 8x + -10 = 0.,"(0.79, -2.12)"
7154,Profit and Loss,"Calculate the profit or loss if a product is bought for 507, marked at 1930, and sold for 735.",Profit of 228
7155,Pipes and Cisterns,"How long will it take to fill a tank if Pipe A fills it in 48 hours, but Pipe B empties it in 37 hours, and both are used simultaneously?",12.0
7156,Profit and Loss,A product is marked at 1154 and sold at 413. What is the profit or loss?,Loss of 469
7157,Numbers,Is 52 a natural number and also a prime?,Yes
7158,Profit and Loss,"If a product is sold at a loss of 29%, what was its cost price if the selling price is 557?",Loss of 367
7159,Ratio and Proportion,"If the ratio of a to b is 60:31, and b = 100, what is the value of a?",193.5483870967742
7160,Ratio and Proportion,What is the new value of a if the ratio of a to b is 82:5 and b is increased to 34?,1.1585365853658536
7161,Ratio and Proportion,"If the ratio of a to b is 43:72, and b = 34, what is the value of a?",20.305555555555557
7162,Time Speed Distance,"Calculate the distance covered if a car travels at 69 km/h for 2 hours, then stops for 4 hours, and continues at 85 km/h.",138
7163,Percentage,What percentage of 4100 is 273?,6.658536585365854
7164,Percentage,What percentage of 2764 is 933?,33.75542691751085
7165,Average,"Calculate the harmonic mean of the following numbers: [49, 89, 50, 15].",33.81
7166,Average,"What is the average of the given numbers: [4, 99, 17, 12, 44]?",35.2
7167,Numbers,Is 62 an integer?,Yes
7168,Ratio and Proportion,"If the ratio 31:24 is equivalent to the ratio 37:73, find the value of b given a = 27.",28.64516129032258
7169,Percentage,Find the original value if 12% of it equals 3013.,25108.333333333336
7170,Average,"Calculate the geometric mean of the numbers: [8, 7, 7, 3].",5.86
7171,Numbers,Is the number 29 both prime and an integer?,Yes
7172,Average,"If the average of 49, 16, and ? is 32, find the missing number if one is unknown.",31
7173,Pipes and Cisterns,"If Pipe A can fill a tank in 19 hours, and Pipe B can empty it in 14 hours, find the time required to fill the tank if both are used together for 10 hours.",-0.19
7174,Ratio and Proportion,Determine the original values of a and b if their ratio is 1:15 and their sum is 16.,1:15
7175,Average,"If the average of 44, 14, and 10 is 22.666666666666668, what is the total sum?",68.0
7176,Average,"If the average of 53, 11, and 30 is 31.333333333333332, what is the total sum?",94.0
7177,Profit and Loss,A product was bought for 467 and sold for 509. Calculate profit or loss.,Profit of 42
7178,Time Speed Distance,"If a vehicle moves at 52 km/h for 4 hours, what is the distance covered?",208
7179,Profit and Loss,What is the cost price if a product is sold for 385 at a profit of 42?,Profit of 175
7180,Pipes and Cisterns,"Pipe A fills a tank in 30 hours, Pipe B in 47 hours, and Pipe C empties it in 15 hours. If all three are used for 24 hours, how much of the tank is filled?",1.31
7181,Average,"Find the average of [45, 50, 26, 34, 45] after removing the highest and lowest values.",41.33
7182,Numbers,Is the product of 43 and 59 a composite number?,Yes
7183,Percentage,"If the original price is 789, what is 1% discount?",781.11
7184,Percentage,Calculate 19% of 145 and then subtract it from the original value.,15478.947368421052
7185,Numbers,Is 69 a natural number?,Yes
7186,Pipes and Cisterns,"Pipe A can fill 0.77 of a tank in 11 hours, and Pipe B fills the rest in 24 hours. Find the total time to fill the tank.",12.57
7187,Pipes and Cisterns,"Pipe A can fill a tank in 23 hours, and Pipe B in 26 hours, but Pipe C can empty it in 29 hours. Find the time taken to fill the tank if all three pipes are used.",21.07
7188,Numbers,"If 94 and 55 are integers, is their sum a natural number?",Yes
7189,Pipes and Cisterns,"Pipe A can fill a tank in 27 hours, and Pipe B in 43 hours, but Pipe C can empty it in 29 hours. Find the time taken to fill the tank if all three pipes are used.",38.74
7190,Ratio and Proportion,"Given the ratio 42:73, find the value of c when b = 33 and a is doubled.",84
7191,Time Speed Distance,"At a speed of 84 km/h, how far will a car travel in 6 hours?",504
7192,Algebra,Find the value of x if 2x + -6 = 0.,3.0
7193,Percentage,"If 25% of a number is added to the number, what is the result?",25824.0
7194,Profit and Loss,"If a product's marked price is 1069 and it is sold at a discount of 19%, find the profit or loss.",Loss of 425
7195,Ratio and Proportion,"Given the ratio 26:56 and b = 94, find the value of a.",99.07692307692308
7196,Average,"If the average of 53, 96, and 58 is 69.0, what is the total sum?",207.0
7197,Profit and Loss,"If a product's marked price is 1767 and it is sold at a discount of 13%, find the profit or loss.",Loss of 70
7198,Time and Work,"If 2 can do 0.5 of a job in 40 days, how long will it take them to complete the whole job?",80.0
7199,Percentage,Calculate the percentage increase from 170 to 963.,466.47058823529414
7200,Ratio and Proportion,Find the new ratio if a and b are multiplied by 2 and 3 respectively.,70:93
7201,Numbers,Is the product of 54 and 3 a composite number?,No
7202,Ratio and Proportion,"Given the ratio 31:39, find the value of c when b = 43 and a is doubled.",62
7203,Average,"Calculate the geometric mean of the numbers: [4, 10, 2, 1].",2.99
7204,Time and Work,How long will it take for 2 to complete the same work done by 5 in 39 days?,97.5
7205,Pipes and Cisterns,"Pipe A can fill a tank in 37 hours, and Pipe B in 20 hours, but Pipe C can empty it in 25 hours. Find the time taken to fill the tank if all three pipes are used.",27.01
7206,Ratio and Proportion,"If the ratio 58:58 is tripled, what are the new values of a and b?",174:174
7207,Time and Work,How long will it take for 5 to complete the same work done by 10 in 41 days?,82.0
7208,Profit and Loss,Calculate the profit/loss percentage when a product is sold for 495 after buying it for 328.,Loss of 167
7209,Pipes and Cisterns,"Pipe A can fill a tank in 18 hours, and Pipe B in 19 hours, but Pipe C can empty it in 30 hours. Find the time taken to fill the tank if all three pipes are used.",13.36
7210,Time Speed Distance,"If a vehicle accelerates from 28 km/h to 88 km/h over 5 hours, what is the distance covered in the first 3 hours?",174.0
7211,Time Speed Distance,"If a train covers 360 km at 45 km/h and then reduces speed by 42 km/h for the remaining journey, what is the total time taken?",360
7212,Percentage,Calculate 26% of 305.,793000
7213,Time Speed Distance,"At a speed of 35 km/h, how far will a car travel in 4 hours?",140
7214,Average,"What is the arithmetic mean of the numbers: [34, 100, 26, 51, 29]?",48.0
7215,Time Speed Distance,Determine the distance covered by a car that travels at an average speed of 25.1 km/h for 34 hours.,44
7216,Time and Work,Determine the time taken if 8 work half the time and 16 work the other half to complete the job in 20 days.,10.0
7217,Percentage,Determine the percentage change from 847 to 142.,-83.23494687131051
7218,Time and Work,"For a job done by 5 people in 46 days, how many days would one person need?",230
7219,Profit and Loss,A product is marked at 1932 and sold at 570. What is the profit or loss?,Loss of 389
7220,Percentage,"If 57% of 863 is added and then 17% is subtracted, what is the result?",1124.5752999999997
7221,Average,"Calculate the harmonic mean of the following numbers: [5, 8, 74, 60].",11.26
7222,Average,"What is the arithmetic mean of the numbers: [88, 52, 80, 3, 70]?",58.6
7223,Time Speed Distance,"If a train covers 177 km at 59 km/h and then reduces speed by 36 km/h for the remaining journey, what is the total time taken?",177
7224,Time Speed Distance,Calculate the total distance if a car travels for 6 hours at a constant speed of 91 km/h.,546
7225,Ratio and Proportion,"Given the ratio 100:35 and a = 21, what is b?",7.35
7226,Percentage,Calculate 50% of 242 and then subtract it from the original value.,19412.0
7227,Numbers,Is 47 a perfect square and also a prime number?,Yes
7228,Percentage,A price increased by 31% and then decreased by 85%. Find the final price.,259.38
7229,Percentage,What is the final value when 62% of 969 is added to it?,1569.78
7230,Algebra,Find the value of x in the linear equation 3x + 9 = 0.,-3.0
7231,Ratio and Proportion,Find the new ratio if a and b are multiplied by 4 and 4 respectively.,312:320
7232,Profit and Loss,"If a product's marked price is 1993 and it is sold at a discount of 22%, find the profit or loss.",Loss of 522
7233,Numbers,Can 35 be both a prime and a composite number?,No
7234,Profit and Loss,A product is bought for 562 and sold at a profit of 19%. Find the selling price.,Profit of -155
7235,Percentage,Determine the value when 558 is increased by 66% and then decreased by 83%.,926.28
7236,Ratio and Proportion,Find the new ratio if a and b are multiplied by 4 and 2 respectively.,200:38
7237,Percentage,"If 96% of a number is 4149, what is the number?",4321.875
7238,Profit and Loss,A product is bought at 664 and sold at a profit of 172.64. What is the selling price?,Profit of -433
7239,Numbers,Is 59 a perfect square and an integer?,Yes
7240,Profit and Loss,Find the selling price if the cost price is 755 and the profit is 11%.,Profit of -624
7241,Percentage,"If 535 is reduced by 16%, what is the resulting value?",449.4
7242,Profit and Loss,What is the profit/loss percentage if the cost price is 720 and the selling price is 383?,Loss of 337
7243,Average,"Find the average of the following numbers, excluding the largest and smallest: [74, 24, 22, 78, 47].",49.0
7244,Profit and Loss,"If a discount of 29% is given on 1188, and the selling price is 339, find the profit/loss.",Loss of 83
7245,Pipes and Cisterns,"How long will it take to fill a tank if Pipe A fills it in 26 hours, but Pipe B empties it in 39 hours, and both are used simultaneously?",14.73
7246,Time Speed Distance,"If a car accelerates from 25 km/h to 39 km/h in 1 hours, what is the total distance covered?",64
7247,Percentage,Calculate 42% of 645 and then subtract it from the original value.,22721.428571428572
7248,Pipes and Cisterns,"Pipe A can fill 0.33 of a tank in 48 hours, and Pipe B can fill the remaining 0.67 in 43 hours. How long will it take to fill the tank?",44.53
7249,Time and Work,How long will it take for 6 to complete a job if they work 0.5 of the time and 3 work the rest?,44.0
7250,Average,"What is the arithmetic mean of the numbers: [56, 29, 15, 23, 73]?",39.2
7251,Time and Work,3 people can complete a work in 45 days. How many days will 1 person take to complete the same work?,135
7252,Time and Work,"Determine the time taken if 20 start the work, but 5 complete it in 20 days.",20
7253,Numbers,Is the product of 51 and 12 a composite number?,Yes
7254,Pipes and Cisterns,Determine the time required to fill 0.87 of a tank if Pipe A can fill the whole tank in 35 hours and Pipe B in 19 hours.,31.55
7255,Profit and Loss,"If a product costs 533 and sells for 494, what is the profit/loss?",Loss of 39
7256,Percentage,Calculate 33% of 904.,2983200
7257,Percentage,Calculate 84% of 246.,2066400
7258,Algebra,Solve for x in the equation 3x + 7 = -4.,-2.3333333333333335
7259,Average,"Calculate the weighted average if the weights are [5, 10, 6, 8, 10] and the corresponding numbers are [14, 22, 52, 37, 91].",46.36
7260,Time Speed Distance,Calculate the total distance if a car travels for 10 hours at a constant speed of 42 km/h.,420
7261,Ratio and Proportion,"If the ratio of a to b is 63:94, and a = 39, what is the value of b?",58.19047619047619
